Unidade Territorial,IVCAD,familias_pobreza,Total de Beneficiários do BPC,Cluster,Distancia_Centroide,IDEB,qtd_BolsaFamilia,tx_analfabetismo
AGRICOLÂNDIA,0.3249949281487744,-0.5481911945619077,0.29163442130368383,0,0.6870762374268025,0.9612354189784409,-0.006987102562310174,-0.41060491690486994
PALMEIRA DO PIAUÍ,0.3747875125881169,-0.7928543157282405,0.0008341942765322282,0,0.7637875941401499,0.7303801401322828,-0.5394148611984146,-0.760829127771789
INHUMA,0.2922656000000006,-0.7777279722868069,0.2389654827206023,0,0.7977462680933569,0.7047295535938194,-0.9269595185092482,0.032616683288293244
LAGOA DE SÃO FRANCISCO,0.3088639365918098,-0.781245334672587,-0.22133418587039996,0,0.8239011943542264,0.34562134205535117,-0.3147777091828865,0.2008034512187367
PAJEÚ DO PIAUÍ,0.2761162464985994,-0.2276085670447318,-0.6988310294312132,0,0.834299661904614,1.4229459766707586,-0.8027459502996503,0.05042469401034069
BENEDITINOS,0.303645491803279,-0.3265349223781558,-0.13770842273438125,0,0.8636708624685064,0.7560307266707448,-0.2372857887661634,0.6103876978258111
BATALHA,0.3066385345109588,-0.5793405707495312,0.4450553793880427,0,0.8657870849795236,1.038187178593827,-0.2893404657386963,0.4243929191733231
BOQUEIRÃO DO PIAUÍ,0.3065575539568346,-0.08821304194928384,-0.3751285234899576,0,0.9052119480967543,0.4995248612861233,0.09344067937055346,-0.30375685257259083
ANÍSIO DE ABREU,0.0,-0.9969028878918353,-0.14153904933347658,0,0.9073686343391519,0.5508260343630487,-0.9526854270292932,-0.052466034605928774
CAMPO GRANDE DO PIAUÍ,0.2994592541436465,-0.5809955454269761,-0.5133741807268107,0,0.9101806094460207,0.4995248612861233,-0.5648639711216389,0.4837529549134785
ELISEU MARTINS,0.2861500465983224,-0.48008362122767256,-0.1148188184200988,0,0.9407928738729424,0.34562134205535117,-0.6879717562042522,-0.725213106327697
BRASILEIRA,0.3198767847699631,-0.5461202952765687,-0.3629093350281673,0,0.9809747660461653,0.2943201689784258,-0.8010020831740149,0.32743819413106945
SÃO LUIS DO PIAUÍ,0.3063362218370884,-0.5713812961839689,-0.6191636260494292,0,1.0066097409987504,0.6534283805168953,-0.5120401520169958,0.6618330621339473
SÃO MIGUEL DO FIDALGO,0.3160164424514201,-0.4573883525512717,-0.2259193870130423,0,1.0571015314085557,0.19171782282457772,0.19802825977321892,-0.08016738461800164
DOM INOCÊNCIO,0.3171124787775894,0.00012346912788792282,-0.24720033132436148,0,1.0666543762107952,0.34562134205535117,-0.45903825901522827,-0.7548931241977732
SANTO INÁCIO DO PIAUÍ,0.0,-0.10672769168408605,-0.18977868600996903,0,1.1051208862659714,0.19171782282457772,-0.6937404740446345,0.24829147981086042
JOAQUIM PIRES,0.316405555555556,-0.8418352005868407,-0.3504081028609896,0,1.1142749197460278,0.7047295535938207,0.09096712175447838,0.7093210907260711
COCAL DE TELHA,0.3054501142421935,0.2593973878464359,-0.3868915956166389,0,1.1159246622713244,0.9612354189784409,0.17166585008219323,0.301715511977
LAGOINHA DO PIAUÍ,0.2979673024523161,-0.0962063749842677,-0.9460041986847574,0,1.13467741448509,0.4995248612861233,-0.5714876937374739,-0.5985783634153642
TANQUE DO PIAUÍ,0.2722850318471338,-0.2379709300380423,-0.5881837729989904,0,1.1347509372327682,1.730753015132304,-0.1021387205374097,-0.8261251670859603
SANTA FILOMENA,0.3168441091954023,-0.6359734654189986,-0.3718220958946592,0,1.13895396557934,1.0125365920553648,0.2521198774178015,-1.0457572993245399
DIRCEU ARCOVERDE,0.362793041391722,-0.16562864635463587,0.4030178170985122,0,1.158082420679405,0.4995248612861233,0.2667677238604085,0.13946474762057515
CANAVIEIRA,0.4067218225419664,0.07738699371058004,-0.700367370436156,0,1.2510437766058724,0.4995248612861233,0.26909747289957847,-0.5214103169531614
BURITI DOS LOPES,0.3033208030756092,-0.5197759164677068,0.6001790482532902,0,1.25619648782681,0.34562134205535117,0.23489108525825492,0.07021137259039155
SÃO GONÇALO DO PIAUÍ,0.2736842513576416,0.09418727865711901,-0.60875137105401,0,1.2572186289037977,0.08911547667072967,-0.342551680508396,-0.45611427763899026
IPIRANGA DO PIAUÍ,0.3147521540800811,-1.076694378295538,-0.5405403758091182,0,1.3099701168484974,1.0125365920553648,-1.2024042079053494,-0.9844185957263782
CALDEIRÃO GRANDE DO PIAUÍ,0.3253238593866868,-0.4791674660759858,-0.5424498135432623,0,1.3306717311654934,1.8846565343630775,0.21093545175032163,0.566857004949697
UNIÃO,0.368176658746116,-0.2400645225004202,1.002888016782547,0,1.334221418412675,0.5508260343630473,-0.2740858511750144,-0.0247646845938559
COIVARAS,0.3004192607003892,-0.5381835209680442,-0.6002778379478609,0,1.3354808250881374,0.19171782282457772,0.5202392866725116,-0.2087807953883406
SIMÕES,0.2928694554633974,-1.5304665752291042,-0.11270967111792166,0,1.370734438961739,1.782054188209228,-0.9758777393186501,0.02272334399826782
BELA VISTA DO PIAUÍ,0.2984236252545826,-0.9591041401411433,-0.48737622528395586,0,1.4343912514768618,1.2690424574399863,-0.26120046415708637,-1.46127754950563
ANTÔNIO ALMEIDA,0.0,-1.2834123741600476,-0.7168977980364746,0,1.511847290751958,1.4229459766707586,-0.7135571676968984,-1.21790140297099
SÃO JOÃO DA CANABRAVA,0.0,0.6206530151559485,0.00400881469524368,0,1.5410961434874346,1.730753015132304,0.02178950856342671,0.33337419770508525
ACAUÃ,0.3092148809523814,0.20555779383607356,-0.840053381699984,0,1.6586422180512126,1.4229459766707586,0.2563446884895258,-1.2297734101190216
VILA NOVA DO PIAUÍ,0.291275075987842,-0.7029203705558714,-0.46076697063390026,0,1.663005117786384,2.0385600535938497,-1.3409867694083393,0.7508731157441818
DOM EXPEDITO LOPES,0.3234733637747337,-1.631017891385242,-0.23170696360736845,0,1.6637320851983213,0.9612354189784409,-1.482698143556356,-0.818210495653941
BAIXA GRANDE DO RIBEIRO,0.3494808248914621,-1.0084705966261414,-0.7347375928665486,0,1.6846540597256274,1.2690424574399863,-0.743230612947899,-1.6215496460040515
FRANCISCO SANTOS,0.2768836389280679,-1.7328847004172767,0.2910267467876707,0,1.792481439667412,0.9612354189784409,-1.6692199448323226,-0.11776207392009995
DOMINGOS MOURÃO,0.3250361010830326,0.17187954430585956,-0.15409782994070556,0,1.819659093225065,2.1924635728246216,0.7665776618365142,0.088019383312439
CAJUEIRO DA PRAIA,0.2897813738441218,-1.7831276431973906,-0.3672181165572699,0,1.8590480500906732,1.1151389382092143,-1.6350489779808852,-0.7845731420678523
SANTANA DO PIAUÍ,0.2614192740926158,-1.5352195590649302,-0.7101839908833233,0,1.8973849943992718,0.6534283805168953,-1.6119118563198735,0.7211930978741027
COCAL,0.320607575043219,-0.7165734613564148,1.4815411934409162,0,1.9477717174665152,1.3203436305169118,-0.02670546536804663,0.7132784264420806
BURITI DOS MONTES,0.3058132275132276,-0.17992264553084736,-0.6803859031978818,0,2.005797139783965,2.808077649747713,0.26218925336346216,0.06427536901637854
SÃO FÉLIX DO PIAUÍ,0.2587224334600761,-1.630800860877028,0.24477503546981572,0,2.0230654317448344,1.2690424574399863,-2.053730654801869,-0.20086612395631856
PEDRO II,0.3275940404040396,-0.06258794124287125,1.6513038946428884,0,2.136471217741337,0.4995248612861233,0.23871466570295843,0.33733153342109484
SÃO MIGUEL DA BAIXA GRANDE,0.2806997518610422,-1.6378315730694823,-0.21487664841206783,0,2.1524389588582826,1.4229459766707586,-1.6214510001237603,1.202009387369367
LANDRI SALES,0.3385678524374179,1.2414942738133932,0.2632654857539221,0,2.406257848822169,1.8846565343630775,0.32237106611012256,-1.2258160744030122
DEMERVAL LOBÃO,0.3945431091510472,0.7046562298982021,0.0033585232400732807,0,2.5174272302248,2.5002706112861675,0.07498150893005567,-1.6908030210342324
COCAL DOS ALVES,0.3014283819628648,-0.6714572754839984,-0.7214765075046516,0,2.5342947042535036,2.859378822824638,-0.549677747140619,1.5146389089341878
CAMPINAS DO PIAUÍ,0.3102388743455501,1.1522101587682945,-0.4816901227268823,1,0.3249606565020337,-0.5777997733292854,0.901151660474268,-0.0999540631980553
GEMINIANO,0.3053822414726585,1.1526526679085312,-0.6331214646629398,1,0.8064177122807294,-0.423896254098512,0.9647121725803119,0.6974490835780394
NOVA SANTA RITA,0.3500096463022508,0.7571406406589679,-0.4668362145957983,1,0.8775985550679257,-1.193413850252376,1.4158464839028106,-0.07621004890199204
PEDRO LAURENTINO,0.3020869047619048,1.3203277649158254,-0.6771874259468407,1,0.9104486386021103,-0.885606811790831,1.4144048863589274,-0.6638744027295355
PASSAGEM FRANCA DO PIAUÍ,0.3780833932422718,1.2540729969114932,-0.7835458119233185,1,0.9705081858964723,-1.193413850252376,1.1573938445150778,0.47583828348145923
PALMEIRAIS,0.3377435829584552,0.9879993543561768,-0.18657144005014845,1,0.9844516564297717,-1.193413850252376,0.47870023432151404,0.21663279408277794
NAZARÉ DO PIAUÍ,0.3425714285714287,0.5319892558832898,-0.08416142631025689,1,0.9845263022983228,-0.423896254098512,0.4453512720953599,0.13550741190456553
FARTURA DO PIAUÍ,0.3845241982507291,1.346700533823272,-0.7189672812724651,1,1.0023082196601834,-0.834305638713907,1.7623809016811305,0.5272836477895926
MARCOLÂNDIA,0.3689928599762006,0.46865299131331206,-0.30073763331644676,1,1.025176491677238,0.19171782282457772,1.2251467318210203,-0.030700688167871717
CORONEL JOSÉ DIAS,0.3763760445682451,1.776315399054334,-0.15669372902986353,1,1.0296062364018979,-1.193413850252376,1.5003960318455123,0.33139552984707904
JATOBÁ DO PIAUÍ,0.2879603760913366,1.3237738731106325,-0.8067068994641469,1,1.0372550743661602,0.34562134205535117,1.1049914019337979,0.1691447654906514
NAZÁRIA,0.3851525821596252,0.2939435536570771,-0.4017268382589306,1,1.0633448574550828,-0.15713015409850678,0.729483157507683,0.09395538688645481
