Acauã,5.6
Acauã,5.6
Agricolândia,6
Agricolândia,4.7
Agricolândia,5.2
Água Branca,-
Água Branca,5.6
Água Branca,5.6
Alagoinha do Piauí,6
Alagoinha do Piauí,5.3
Alagoinha do Piauí,5.7
Alegrete do Piauí,-
Alegrete do Piauí,5
Alegrete do Piauí,5
Alto Longá,4.6
Alto Longá,5.1
Alto Longá,5
Altos,4.5
Altos,5.9
Altos,5.6
Alvorada do Gurguéia,-
Alvorada do Gurguéia,4.2
Alvorada do Gurguéia,3.2
Amarante,4.4
Amarante,4.3
Amarante,4.3
Angical do Piauí,5.1
Angical do Piauí,5.3
Angical do Piauí,5.2
Anísio de Abreu,5.4
Anísio de Abreu,4.7
Anísio de Abreu,5
Antônio Almeida,-
Antônio Almeida,5.6
Antônio Almeida,5.6
Aroazes,-
Aroazes,4.6
Aroazes,4.6
Aroeiras do Itaim,4.8
Aroeiras do Itaim,4.8
Arraial,-
Arraial,4.3
Arraial,4.3
Assunção do Piauí,4.3
Assunção do Piauí,4.3
Avelino Lopes,5.3
Avelino Lopes,3.9
Avelino Lopes,4.2
Baixa Grande do Ribeiro,-
Baixa Grande do Ribeiro,5.5
Baixa Grande do Ribeiro,5.5
Barra D'Alcântara,4.3
Barra D'Alcântara,4.3
Barras,4.6
Barras,4.7
Barras,4.6
Barreiras do Piauí,3.4
Barreiras do Piauí,-
Barreiras do Piauí,2.6
Barro Duro,-
Barro Duro,3.5
Barro Duro,3.5
Batalha,5.4
Batalha,-
Batalha,5.3
Bela Vista do Piauí,5.5
Bela Vista do Piauí,5.5
Belém do Piauí,5.1
Belém do Piauí,5.1
Beneditinos,4.7
Beneditinos,5.5
Beneditinos,5.3
Bertolínia,-
Bertolínia,4.2
Bertolínia,4.2
Betânia do Piauí,4
Betânia do Piauí,4
Boa Hora,4.5
Boa Hora,4.5
Bocaina,-
Bocaina,4.2
Bocaina,4.2
Bom Jesus,4.2
Bom Jesus,6.8
Bom Jesus,5.2
Bom Princípio do Piauí,4.4
Bom Princípio do Piauí,4.4
Bonfim do Piauí,4.9
Bonfim do Piauí,4.9
Boqueirão do Piauí,5
Boqueirão do Piauí,5
Brasileira,5.3
Brasileira,4.5
Brasileira,4.8
Brejo do Piauí,4.9
Brejo do Piauí,4.9
Buriti dos Lopes,4.9
Buriti dos Lopes,4.9
Buriti dos Lopes,4.9
Buriti dos Montes,-
Buriti dos Montes,6.5
Buriti dos Montes,6.5
Cabeceiras do Piauí,-
Cabeceiras do Piauí,4.8
Cabeceiras do Piauí,4.8
Cajazeiras do Piauí,4.3
Cajazeiras do Piauí,4.3
