"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico",""
"Variável - População residente (Pessoas)",""
"Município","Ano"
"","2022"
"Acauã (PI)","6420"
"Agricolândia (PI)","4940"
"Água Branca (PI)","17573"
"Alagoinha do Piauí (PI)","6819"
"Alegrete do Piauí (PI)","4634"
"Alto Longá (PI)","13479"
"Altos (PI)","47453"
"Alvorada do Gurguéia (PI)","5322"
"Amarante (PI)","17234"
"Angical do Piauí (PI)","6827"
"Anísio de Abreu (PI)","9407"
"Antônio Almeida (PI)","3152"
"Aroazes (PI)","5369"
"Aroeiras do Itaim (PI)","2690"
"Arraial (PI)","4520"
"Assunção do Piauí (PI)","7452"
"Avelino Lopes (PI)","10866"
"Baixa Grande do Ribeiro (PI)","13272"
"Barra D'Alcântara (PI)","3995"
"Barras (PI)","47938"
"Barreiras do Piauí (PI)","3264"
"Barro Duro (PI)","6640"
"Batalha (PI)","26300"
"Bela Vista do Piauí (PI)","4091"
"Belém do Piauí (PI)","3423"
"Beneditinos (PI)","9929"
"Bertolínia (PI)","5562"
"Betânia do Piauí (PI)","6220"
"Boa Hora (PI)","6902"
"Bocaina (PI)","4078"
"Bom Jesus (PI)","28796"
"Bom Princípio do Piauí (PI)","5636"
"Bonfim do Piauí (PI)","5913"
"Boqueirão do Piauí (PI)","6545"
"Brasileira (PI)","8436"
"Brejo do Piauí (PI)","3904"
"Buriti dos Lopes (PI)","19654"
"Buriti dos Montes (PI)","7434"
"Cabeceiras do Piauí (PI)","10212"
"Cajazeiras do Piauí (PI)","3108"
"Cajueiro da Praia (PI)","7957"
"Caldeirão Grande do Piauí (PI)","5503"
"Campinas do Piauí (PI)","4938"
"Campo Alegre do Fidalgo (PI)","4616"
"Campo Grande do Piauí (PI)","6020"
"Campo Largo do Piauí (PI)","7419"
"Campo Maior (PI)","45793"
"Canavieira (PI)","3414"
"Canto do Buriti (PI)","19365"
"Capitão de Campos (PI)","11100"
"Capitão Gervásio Oliveira (PI)","3974"
"Caracol (PI)","10318"
"Caraúbas do Piauí (PI)","5630"
"Caridade do Piauí (PI)","5033"
"Castelo do Piauí (PI)","19288"
"Caxingó (PI)","5496"
"Cocal (PI)","28212"
"Cocal de Telha (PI)","4911"
"Cocal dos Alves (PI)","6386"
"Coivaras (PI)","4117"
"Colônia do Gurguéia (PI)","6150"
"Colônia do Piauí (PI)","6994"
"Conceição do Canindé (PI)","4932"
"Coronel José Dias (PI)","4250"
"Corrente (PI)","27278"
"Cristalândia do Piauí (PI)","7356"
"Cristino Castro (PI)","10503"
"Curimatá (PI)","11270"
"Currais (PI)","4854"
"Curralinhos (PI)","4413"
"Curral Novo do Piauí (PI)","5073"
"Demerval Lobão (PI)","16352"
"Dirceu Arcoverde (PI)","7054"
"Dom Expedito Lopes (PI)","6320"
"Domingos Mourão (PI)","4075"
"Dom Inocêncio (PI)","9159"
"Elesbão Veloso (PI)","13607"
"Eliseu Martins (PI)","4377"
"Esperantina (PI)","40970"
"Fartura do Piauí (PI)","5284"
"Flores do Piauí (PI)","4414"
"Floresta do Piauí (PI)","2333"
"Floriano (PI)","62036"
"Francinópolis (PI)","4505"
"Francisco Ayres (PI)","4412"
"Francisco Macedo (PI)","2929"
"Francisco Santos (PI)","8237"
"Fronteiras (PI)","10259"
"Geminiano (PI)","5445"
"Gilbués (PI)","10892"
"Guadalupe (PI)","10270"
"Guaribas (PI)","4276"
"Hugo Napoleão (PI)","3518"
"Ilha Grande (PI)","9274"
"Inhuma (PI)","14958"
"Ipiranga do Piauí (PI)","9420"
"Isaías Coelho (PI)","7774"
"Itainópolis (PI)","10790"
"Itaueira (PI)","10323"
"Jacobina do Piauí (PI)","5613"
"Jaicós (PI)","17527"
"Jardim do Mulato (PI)","4180"
"Jatobá do Piauí (PI)","4494"
"Jerumenha (PI)","4497"
"João Costa (PI)","2970"
"Joaquim Pires (PI)","13886"
"Joca Marques (PI)","5394"
"José de Freitas (PI)","42559"
"Juazeiro do Piauí (PI)","5214"
"Júlio Borges (PI)","5388"
"Jurema (PI)","4425"
"Lagoinha do Piauí (PI)","2939"
"Lagoa Alegre (PI)","8256"
"Lagoa do Barro do Piauí (PI)","4995"
"Lagoa de São Francisco (PI)","6331"
"Lagoa do Piauí (PI)","4810"
"Lagoa do Sítio (PI)","4520"
"Landri Sales (PI)","5213"
"Luís Correia (PI)","30641"
"Luzilândia (PI)","25375"
"Madeiro (PI)","8032"
"Manoel Emídio (PI)","5209"
"Marcolândia (PI)","8533"
"Marcos Parente (PI)","4724"
"Massapê do Piauí (PI)","5218"
"Matias Olímpio (PI)","10641"
"Miguel Alves (PI)","32150"
"Miguel Leão (PI)","1318"
"Milton Brandão (PI)","6542"
"Monsenhor Gil (PI)","10255"
"Monsenhor Hipólito (PI)","7577"
"Monte Alegre do Piauí (PI)","10660"
"Morro Cabeça no Tempo (PI)","4377"
"Morro do Chapéu do Piauí (PI)","6425"
"Murici dos Portelas (PI)","9797"
"Nazaré do Piauí (PI)","6665"
"Nazária (PI)","10262"
"Nossa Senhora de Nazaré (PI)","5228"
"Nossa Senhora dos Remédios (PI)","8525"
"Novo Oriente do Piauí (PI)","6097"
"Novo Santo Antônio (PI)","2827"
"Oeiras (PI)","38161"
"Olho D'Água do Piauí (PI)","2637"
"Padre Marcos (PI)","6382"
"Paes Landim (PI)","4088"
"Pajeú do Piauí (PI)","3000"
"Palmeira do Piauí (PI)","4952"
"Palmeirais (PI)","13264"
"Paquetá (PI)","3813"
"Parnaguá (PI)","10103"
"Parnaíba (PI)","162159"
"Passagem Franca do Piauí (PI)","4135"
"Patos do Piauí (PI)","5425"
"Pau D'Arco do Piauí (PI)","3880"
"Paulistana (PI)","21055"
"Pavussu (PI)","3628"
"Pedro II (PI)","37894"
"Pedro Laurentino (PI)","2458"
"Nova Santa Rita (PI)","4076"
"Picos (PI)","83090"
"Pimenteiras (PI)","11341"
"Pio IX (PI)","17613"
"Piracuruca (PI)","28846"
"Piripiri (PI)","65538"
"Porto (PI)","12052"
"Porto Alegre do Piauí (PI)","2364"
"Prata do Piauí (PI)","3042"
"Queimada Nova (PI)","8738"
"Redenção do Gurguéia (PI)","8394"
"Regeneração (PI)","17133"
"Riacho Frio (PI)","4165"
"Ribeira do Piauí (PI)","4055"
"Ribeiro Gonçalves (PI)","6164"
"Rio Grande do Piauí (PI)","5801"
"Santa Cruz do Piauí (PI)","5831"
"Santa Cruz dos Milagres (PI)","3435"
"Santa Filomena (PI)","6087"
"Santa Luz (PI)","5336"
"Santana do Piauí (PI)","4125"
"Santa Rosa do Piauí (PI)","4650"
"Santo Antônio de Lisboa (PI)","5839"
"Santo Antônio dos Milagres (PI)","2138"
"Santo Inácio do Piauí (PI)","3646"
"São Braz do Piauí (PI)","4358"
"São Félix do Piauí (PI)","2842"
"São Francisco de Assis do Piauí (PI)","5572"
"São Francisco do Piauí (PI)","5392"
"São Gonçalo do Gurguéia (PI)","2947"
"São Gonçalo do Piauí (PI)","4837"
"São João da Canabrava (PI)","4242"
"São João da Fronteira (PI)","5522"
"São João da Serra (PI)","6114"
"São João da Varjota (PI)","4383"
"São João do Arraial (PI)","8186"
"São João do Piauí (PI)","21421"
"São José do Divino (PI)","4841"
"São José do Peixe (PI)","3297"
"São José do Piauí (PI)","6597"
"São Julião (PI)","6025"
"São Lourenço do Piauí (PI)","4410"
"São Luis do Piauí (PI)","2309"
"São Miguel da Baixa Grande (PI)","2269"
"São Miguel do Fidalgo (PI)","2829"
"São Miguel do Tapuio (PI)","17554"
"São Pedro do Piauí (PI)","13755"
"São Raimundo Nonato (PI)","38934"
"Sebastião Barros (PI)","3202"
"Sebastião Leal (PI)","4446"
"Sigefredo Pacheco (PI)","9460"
"Simões (PI)","14350"
"Simplício Mendes (PI)","13870"
"Socorro do Piauí (PI)","4141"
"Sussuapara (PI)","6220"
"Tamboril do Piauí (PI)","2949"
"Tanque do Piauí (PI)","2316"
"Teresina (PI)","866300"
"União (PI)","46119"
"Uruçuí (PI)","25203"
"Valença do Piauí (PI)","22279"
"Várzea Branca (PI)","5055"
"Várzea Grande (PI)","4417"
"Vera Mendes (PI)","3185"
"Vila Nova do Piauí (PI)","2935"
"Wall Ferraz (PI)","4059"
"Fonte: IBGE - Censo Demográfico",""
