"Código","Unidade Territorial","UF","Referência","Pessoas com Deficiência (PCD) beneficiárias do BPC","Idosos beneficiários do BPC","Valor Repassado a PCDs pelo BPC","Valor Repassado a Idosos pelo BPC","Total de Beneficiários do BPC","Valor Total repassado ao BPC"
"120001","ACRELÂNDIA","AC","12/2023","190","68","250812,07","89760","258","340572,07"
"120005","ASSIS BRASIL","AC","12/2023","159","110","209883,7","145200","269","355083,7"
"120010","BRASILÉIA","AC","12/2023","803","509","1059975,12","673201,97","1312","1733177,09"
"120013","BUJARI","AC","12/2023","143","63","188762,76","83160,1","206","271922,86"
"120017","CAPIXABA","AC","12/2023","103","63","135960,68","83161,15","166","219121,83"
"120020","CRUZEIRO DO SUL","AC","12/2023","2970","708","3920490,78","937210,17","3678","4857700,95"
"120025","EPITACIOLÂNDIA","AC","12/2023","358","305","472604,72","402618,7","663","875223,42"
"120030","FEIJÓ","AC","12/2023","1145","177","1511464,49","233648,65","1322","1745113,14"
"120032","JORDÃO","AC","12/2023","43","7","56760","9240","50","66000"
"120033","MÂNCIO LIMA","AC","12/2023","218","35","287769,86","46200,55","253","333970,41"
"120034","MANOEL URBANO","AC","12/2023","169","53","223080,9","69960","222","293040,9"
"120035","MARECHAL THAUMATURGO","AC","12/2023","57","6","75240,1","9240","63","84480,1"
"120038","PLÁCIDO DE CASTRO","AC","12/2023","314","155","414498,14","204601,75","469","619099,89"
"120039","PORTO WALTER","AC","12/2023","37","4","48841,1","5280","41","54121,1"
"120040","RIO BRANCO","AC","12/2023","11362","5415","14999357,92","7148092,46","16777","22147450,38"
"120042","RODRIGUES ALVES","AC","12/2023","57","6","75243,24","7920,65","63","83163,89"
"120043","SANTA ROSA DO PURUS","AC","12/2023","5","14","6600","18480","19","25080"
"120045","SENADOR GUIOMARD","AC","12/2023","408","227","538581,36","299643","635","838224,36"
"120050","SENA MADUREIRA","AC","12/2023","1107","348","1462623,98","459370,14","1455","1921994,12"
"120060","TARAUACÁ","AC","12/2023","1364","274","1801108,54","361686,64","1638","2162795,18"
"120070","XAPURI","AC","12/2023","364","124","480497,96","163680,65","488","644178,61"
"120080","PORTO ACRE","AC","12/2023","168","76","221766,34","100320,55","244","322086,89"
"270010","ÁGUA BRANCA","AL","12/2023","484","66","638899,75","87120,52","550","726020,27"
"270020","ANADIA","AL","12/2023","222","38","293045,56","50160","260","343205,56"
"270030","ARAPIRACA","AL","12/2023","6773","3678","8945905,22","4858928,49","10451","13804833,71"
"270040","ATALAIA","AL","12/2023","1528","735","2018344,83","971530,21","2263","2989875,04"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2023","217","58","286443,61","76560","275","363003,61"
"270060","BARRA DE SÃO MIGUEL","AL","12/2023","47","18","62042,84","23760,33","65","85803,17"
"270070","BATALHA","AL","12/2023","610","206","805213,67","271920,3","816","1077133,97"
"270080","BELÉM","AL","12/2023","56","14","73920,1","18480","70","92400,1"
"270090","BELO MONTE","AL","12/2023","20","4","26400","5280","24","31680"
"270100","BOCA DA MATA","AL","12/2023","976","443","1288347,64","584762,44","1419","1873110,08"
"270110","BRANQUINHA","AL","12/2023","53","14","69960","18480","67","88440"
"270120","CACIMBINHAS","AL","12/2023","280","56","370932,6","73920","336","444852,6"
"270130","CAJUEIRO","AL","12/2023","298","79","394688,42","104280,96","377","498969,38"
"270135","CAMPESTRE","AL","12/2023","93","33","122762,57","43560","126","166322,57"
"270140","CAMPO ALEGRE","AL","12/2023","1046","495","1382083,86","656052,37","1541","2038136,23"
"270150","CAMPO GRANDE","AL","12/2023","202","81","266645,44","106920,63","283","373566,07"
"270160","CANAPI","AL","12/2023","407","103","537282,3","135962,7","510","673245,0"
"270170","CAPELA","AL","12/2023","576","286","760327,36","377520,8","862","1137848,16"
"270180","CARNEIROS","AL","12/2023","50","14","66000,7","18480,22","64","84480,92"
"270190","CHÃ PRETA","AL","12/2023","110","14","145204,44","18480","124","163684,44"
"270200","COITÉ DO NÓIA","AL","12/2023","118","17","155760,9","22440","135","178200,9"
"270210","COLÔNIA LEOPOLDINA","AL","12/2023","374","213","493682,8","281160,4","587","774843,2"
"270220","COQUEIRO SECO","AL","12/2023","146","53","192721,05","71280,6","199","264001,65"
"270230","CORURIPE","AL","12/2023","1588","835","2098842,37","1103523,52","2423","3202365,89"
"270235","CRAÍBAS","AL","12/2023","447","114","590066,04","150480,84","561","740546,88"
"270240","DELMIRO GOUVEIA","AL","12/2023","2796","767","3692098,51","1012444,14","3563","4704542,65"
"270250","DOIS RIACHOS","AL","12/2023","92","17","121440,41","22440","109","143880,41"
"270255","ESTRELA DE ALAGOAS","AL","12/2023","198","39","261361,76","51480,44","237","312842,20"
"270260","FEIRA GRANDE","AL","12/2023","359","85","473896,26","112200,6","444","586096,86"
"270270","FELIZ DESERTO","AL","12/2023","55","42","72601,73","56760","97","129361,73"
"270280","FLEXEIRAS","AL","12/2023","130","72","171600,97","95040","202","266640,97"
"270290","GIRAU DO PONCIANO","AL","12/2023","963","262","1271183,19","345843,83","1225","1617027,02"
"270300","IBATEGUARA","AL","12/2023","308","108","406562,05","142560,36","416","549122,41"
"270310","IGACI","AL","12/2023","729","129","963627,6","170281,96","858","1133909,56"
"270320","IGREJA NOVA","AL","12/2023","694","108","916099,11","142560","802","1058659,11"
"270330","INHAPI","AL","12/2023","316","53","417120,62","69960","369","487080,62"
"270340","JACARÉ DOS HOMENS","AL","12/2023","63","15","83160","19800","78","102960"
"270350","JACUÍPE","AL","12/2023","45","32","59403,04","42240","77","101643,04"
"270360","JAPARATINGA","AL","12/2023","58","43","77880,2","56760","101","134640,2"
"270370","JARAMATAIA","AL","12/2023","60","17","79200","22440","77","101640"
"270375","JEQUIÁ DA PRAIA","AL","12/2023","61","30","80521,1","39600","91","120121,1"
"270380","JOAQUIM GOMES","AL","12/2023","767","335","1012442,39","442200","1102","1454642,39"
"270390","JUNDIÁ","AL","12/2023","79","50","104281,1","66000,5","129","170281,6"
"270400","JUNQUEIRO","AL","12/2023","651","183","859341,83","241560,92","834","1100902,75"
"270410","LAGOA DA CANOA","AL","12/2023","179","58","236288,39","76560","237","312848,39"
"270420","LIMOEIRO DE ANADIA","AL","12/2023","325","131","429007,16","172921,7","456","601928,86"
"270430","MACEIÓ","AL","12/2023","28196","11323","37232846,27","14957268","39519","52190114,27"
"270440","MAJOR ISIDORO","AL","12/2023","371","98","489735,57","129360,95","469","619096,52"
"270450","MARAGOGI","AL","12/2023","606","385","799927,49","508202,03","991","1308129,52"
"270460","MARAVILHA","AL","12/2023","152","39","200644,6","51480","191","252124,6"
"270470","MARECHAL DEODORO","AL","12/2023","1387","534","1830873,22","704884,25","1921","2535757,47"
"270480","MARIBONDO","AL","12/2023","496","118","654731,86","155760","614","810491,86"
"270490","MAR VERMELHO","AL","12/2023","22","7","29040","9240","29","38280"
"270500","MATA GRANDE","AL","12/2023","418","84","551767,76","110880","502","662647,76"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2023","675","301","890997,54","397324,74","976","1288322,28"
"270520","MESSIAS","AL","12/2023","189","89","249481,13","117480","278","366961,13"
"270530","MINADOR DO NEGRÃO","AL","12/2023","50","15","66000,1","19800","65","85800,1"
"270540","MONTEIRÓPOLIS","AL","12/2023","59","22","77880","29040","81","106920"
"270550","MURICI","AL","12/2023","1313","361","1733202,12","476522,29","1674","2209724,41"
"270560","NOVO LINO","AL","12/2023","173","97","228367,01","128040","270","356407,01"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2023","472","177","623046,47","233640","649","856686,47"
"270580","OLHO DÁGUA DO CASADO","AL","12/2023","18","4","23760","5280","22","29040"
"270590","OLHO DÁGUA GRANDE","AL","12/2023","52","10","68640,3","13200,08","62","81840,38"
"270600","OLIVENÇA","AL","12/2023","156","34","205928,41","44880,1","190","250808,51"
"270610","OURO BRANCO","AL","12/2023","214","57","282485,54","75240,1","271","357725,64"
"270620","PALESTINA","AL","12/2023","19","0","25080","0","19","25080"
"270630","PALMEIRA DOS ÍNDIOS","AL","12/2023","2893","955","3819311,26","1260612,88","3848","5079924,14"
"270640","PÃO DE AÇÚCAR","AL","12/2023","688","247","908178,99","326040,97","935","1234219,96"
"270642","PARICONHA","AL","12/2023","195","38","257402,88","50160","233","307562,88"
"270644","PARIPUEIRA","AL","12/2023","184","83","242882,58","109561,45","267","352444,03"
"270650","PASSO DE CAMARAGIBE","AL","12/2023","238","132","314164,32","174242,15","370","488406,47"
"270660","PAULO JACINTO","AL","12/2023","154","21","203283,7","27720","175","231003,7"
"270670","PENEDO","AL","12/2023","2431","737","3211638,82","972842,42","3168","4184481,24"
"270680","PIAÇABUÇU","AL","12/2023","289","134","381487,72","176880","423","558367,72"
"270690","PILAR","AL","12/2023","938","415","1238194,07","547803,88","1353","1785997,95"
"270700","PINDOBA","AL","12/2023","19","5","25080,19","6600","24","31680,19"
"270710","PIRANHAS","AL","12/2023","472","125","623046,82","165000","597","788046,82"
"270720","POÇO DAS TRINCHEIRAS","AL","12/2023","210","39","277205,94","51480,41","249","328686,35"
"270730","PORTO CALVO","AL","12/2023","1339","732","1767509,58","966243,98","2071","2733753,56"
"270740","PORTO DE PEDRAS","AL","12/2023","27","8","35640,36","10560","35","46200,36"
"270750","PORTO REAL DO COLÉGIO","AL","12/2023","515","139","679810,5","183480,9","654","863291,4"
"270760","QUEBRANGULO","AL","12/2023","217","81","286446,78","106920","298","393366,78"
"270770","RIO LARGO","AL","12/2023","2224","955","2938536,02","1260609,58","3179","4199145,60"
"270780","ROTEIRO","AL","12/2023","49","28","64680","36960,06","77","101640,06"
