"Código","Unidade Territorial","UF","Referência","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal até meio salário-mínimo (Pobreza + Baixa renda) inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal acima de meio salário-mínimo*** inscritas no Cadastro Único"
"220005","ACAUÃ","PI","03/2023","1845","2149","218"
"220005","ACAUÃ","PI","04/2023","1841","2138","206"
"220005","ACAUÃ","PI","05/2023","1830","2124","211"
"220005","ACAUÃ","PI","06/2023","1692","1944","409"
"220005","ACAUÃ","PI","07/2023","1700","1954","412"
"220005","ACAUÃ","PI","08/2023","1711","1962","407"
"220005","ACAUÃ","PI","09/2023","1711","1968","406"
"220005","ACAUÃ","PI","10/2023","1647","1913","457"
"220005","ACAUÃ","PI","11/2023","1627","1899","467"
"220005","ACAUÃ","PI","12/2023","1615","1889","460"
"220005","ACAUÃ","PI","01/2024","1570","1888","372"
"220005","ACAUÃ","PI","02/2024","1526","1857","388"
"220005","ACAUÃ","PI","03/2024","1525","1859","403"
"220005","ACAUÃ","PI","04/2024","1502","1839","419"
"220005","ACAUÃ","PI","05/2024","1490","1825","423"
"220005","ACAUÃ","PI","06/2024","1461","1749","501"
"220005","ACAUÃ","PI","07/2024","1435","1720","466"
"220005","ACAUÃ","PI","08/2024","1446","1737","459"
"220005","ACAUÃ","PI","09/2024","1427","1709","477"
"220010","AGRICOLÂNDIA","PI","03/2023","1166","1431","341"
"220010","AGRICOLÂNDIA","PI","04/2023","1174","1427","320"
"220010","AGRICOLÂNDIA","PI","05/2023","1182","1441","320"
"220010","AGRICOLÂNDIA","PI","06/2023","1055","1314","459"
"220010","AGRICOLÂNDIA","PI","07/2023","1052","1309","465"
"220010","AGRICOLÂNDIA","PI","08/2023","1063","1307","467"
"220010","AGRICOLÂNDIA","PI","09/2023","1073","1311","470"
"220010","AGRICOLÂNDIA","PI","10/2023","1003","1263","515"
"220010","AGRICOLÂNDIA","PI","11/2023","1009","1270","512"
"220010","AGRICOLÂNDIA","PI","12/2023","1023","1276","513"
"220010","AGRICOLÂNDIA","PI","01/2024","1001","1270","460"
"220010","AGRICOLÂNDIA","PI","02/2024","964","1231","486"
"220010","AGRICOLÂNDIA","PI","03/2024","986","1258","488"
"220010","AGRICOLÂNDIA","PI","04/2024","990","1263","495"
"220010","AGRICOLÂNDIA","PI","05/2024","994","1267","521"
"220010","AGRICOLÂNDIA","PI","06/2024","952","1216","607"
"220010","AGRICOLÂNDIA","PI","07/2024","961","1219","528"
"220010","AGRICOLÂNDIA","PI","08/2024","971","1231","527"
"220010","AGRICOLÂNDIA","PI","09/2024","950","1214","542"
"220020","ÁGUA BRANCA","PI","09/2024","3746","4256","1468"
"220020","ÁGUA BRANCA","PI","03/2023","4408","4809","751"
"220020","ÁGUA BRANCA","PI","04/2023","4424","4812","749"
"220020","ÁGUA BRANCA","PI","05/2023","4451","4838","754"
"220020","ÁGUA BRANCA","PI","06/2023","4022","4481","1131"
"220020","ÁGUA BRANCA","PI","07/2023","4050","4504","1134"
"220020","ÁGUA BRANCA","PI","08/2023","4083","4515","1138"
"220020","ÁGUA BRANCA","PI","09/2023","4102","4533","1144"
"220020","ÁGUA BRANCA","PI","10/2023","4011","4475","1239"
"220020","ÁGUA BRANCA","PI","11/2023","4035","4495","1243"
"220020","ÁGUA BRANCA","PI","12/2023","4088","4546","1242"
"220020","ÁGUA BRANCA","PI","01/2024","3961","4448","1103"
"220020","ÁGUA BRANCA","PI","02/2024","3853","4376","1170"
"220020","ÁGUA BRANCA","PI","03/2024","3906","4421","1208"
"220020","ÁGUA BRANCA","PI","04/2024","3942","4446","1259"
"220020","ÁGUA BRANCA","PI","05/2024","3882","4391","1295"
"220020","ÁGUA BRANCA","PI","06/2024","3729","4240","1453"
"220020","ÁGUA BRANCA","PI","07/2024","3765","4260","1357"
"220020","ÁGUA BRANCA","PI","08/2024","3817","4318","1382"
"220025","ALAGOINHA DO PIAUÍ","PI","09/2024","1578","1864","539"
"220025","ALAGOINHA DO PIAUÍ","PI","08/2024","1617","1894","502"
"220025","ALAGOINHA DO PIAUÍ","PI","07/2024","1603","1877","486"
"220025","ALAGOINHA DO PIAUÍ","PI","06/2024","1622","1905","638"
"220025","ALAGOINHA DO PIAUÍ","PI","05/2024","1688","1972","585"
"220025","ALAGOINHA DO PIAUÍ","PI","04/2024","1693","1983","592"
"220025","ALAGOINHA DO PIAUÍ","PI","03/2024","1700","1986","596"
"220025","ALAGOINHA DO PIAUÍ","PI","02/2024","1706","2000","596"
"220025","ALAGOINHA DO PIAUÍ","PI","01/2024","1751","2045","565"
"220025","ALAGOINHA DO PIAUÍ","PI","12/2023","1815","2098","638"
"220025","ALAGOINHA DO PIAUÍ","PI","11/2023","1822","2104","639"
"220025","ALAGOINHA DO PIAUÍ","PI","10/2023","1823","2101","639"
"220025","ALAGOINHA DO PIAUÍ","PI","09/2023","1876","2146","589"
"220025","ALAGOINHA DO PIAUÍ","PI","08/2023","1868","2140","591"
"220025","ALAGOINHA DO PIAUÍ","PI","07/2023","1862","2137","589"
"220025","ALAGOINHA DO PIAUÍ","PI","06/2023","1854","2135","585"
"220025","ALAGOINHA DO PIAUÍ","PI","05/2023","2028","2330","392"
"220025","ALAGOINHA DO PIAUÍ","PI","04/2023","2019","2323","396"
"220025","ALAGOINHA DO PIAUÍ","PI","03/2023","2048","2361","418"
"220027","ALEGRETE DO PIAUÍ","PI","04/2024","1086","1256","362"
"220027","ALEGRETE DO PIAUÍ","PI","09/2024","1000","1173","356"
"220027","ALEGRETE DO PIAUÍ","PI","08/2024","1036","1203","341"
"220027","ALEGRETE DO PIAUÍ","PI","07/2024","1025","1187","334"
"220027","ALEGRETE DO PIAUÍ","PI","06/2024","1022","1189","396"
"220027","ALEGRETE DO PIAUÍ","PI","05/2024","1083","1250","346"
"220027","ALEGRETE DO PIAUÍ","PI","03/2024","1088","1265","365"
"220027","ALEGRETE DO PIAUÍ","PI","02/2024","1074","1255","365"
"220027","ALEGRETE DO PIAUÍ","PI","01/2024","1101","1274","350"
"220027","ALEGRETE DO PIAUÍ","PI","12/2023","1128","1295","405"
"220027","ALEGRETE DO PIAUÍ","PI","11/2023","1114","1281","411"
"220027","ALEGRETE DO PIAUÍ","PI","10/2023","1109","1281","408"
"220027","ALEGRETE DO PIAUÍ","PI","09/2023","1157","1320","359"
"220027","ALEGRETE DO PIAUÍ","PI","08/2023","1138","1305","357"
"220027","ALEGRETE DO PIAUÍ","PI","07/2023","1126","1299","358"
"220027","ALEGRETE DO PIAUÍ","PI","06/2023","1117","1291","354"
"220027","ALEGRETE DO PIAUÍ","PI","05/2023","1263","1422","205"
"220027","ALEGRETE DO PIAUÍ","PI","04/2023","1267","1430","205"
"220027","ALEGRETE DO PIAUÍ","PI","03/2023","1271","1440","228"
"220030","ALTO LONGÁ","PI","08/2024","3223","3588","925"
"220030","ALTO LONGÁ","PI","07/2024","3190","3562","922"
"220030","ALTO LONGÁ","PI","06/2024","3294","3676","986"
"220030","ALTO LONGÁ","PI","05/2024","3377","3793","848"
"220030","ALTO LONGÁ","PI","04/2024","3391","3806","818"
"220030","ALTO LONGÁ","PI","03/2024","3395","3820","807"
"220030","ALTO LONGÁ","PI","04/2023","3928","4289","378"
"220030","ALTO LONGÁ","PI","02/2024","3360","3794","786"
"220030","ALTO LONGÁ","PI","01/2024","3454","3871","732"
"220030","ALTO LONGÁ","PI","12/2023","3575","3945","877"
"220030","ALTO LONGÁ","PI","11/2023","3556","3927","869"
"220030","ALTO LONGÁ","PI","10/2023","3551","3919","854"
"220030","ALTO LONGÁ","PI","09/2023","3644","3983","767"
"220030","ALTO LONGÁ","PI","08/2023","3600","3947","750"
"220030","ALTO LONGÁ","PI","07/2023","3573","3934","745"
"220030","ALTO LONGÁ","PI","06/2023","3554","3915","739"
"220030","ALTO LONGÁ","PI","05/2023","3906","4271","377"
"220030","ALTO LONGÁ","PI","09/2024","3165","3535","975"
"220030","ALTO LONGÁ","PI","03/2023","3968","4337","383"
"220040","ALTOS","PI","03/2023","6498","8565","1293"
"220040","ALTOS","PI","09/2024","5633","7916","2443"
"220040","ALTOS","PI","08/2024","5904","8045","2276"
"220040","ALTOS","PI","07/2024","5690","7822","2270"
"220040","ALTOS","PI","06/2024","5629","7786","2475"
"220040","ALTOS","PI","05/2024","5854","7948","2215"
"220040","ALTOS","PI","04/2024","5847","7953","2222"
"220040","ALTOS","PI","03/2024","5815","7920","2220"
"220040","ALTOS","PI","02/2024","5746","7830","2203"
"220040","ALTOS","PI","01/2024","5939","7995","2054"
"220040","ALTOS","PI","12/2023","6133","8269","2294"
"220040","ALTOS","PI","11/2023","6065","8184","2286"
"220040","ALTOS","PI","10/2023","5986","8102","2267"
"220040","ALTOS","PI","09/2023","6175","8257","2072"
"220040","ALTOS","PI","08/2023","6066","8131","2066"
"220040","ALTOS","PI","07/2023","5961","8018","2052"
"220040","ALTOS","PI","06/2023","5864","7910","2042"
"220040","ALTOS","PI","05/2023","6534","8580","1296"
"220040","ALTOS","PI","04/2023","6465","8493","1289"
"220045","ALVORADA DO GURGUÉIA","PI","09/2024","1146","1400","519"
"220045","ALVORADA DO GURGUÉIA","PI","03/2023","1393","1594","341"
"220045","ALVORADA DO GURGUÉIA","PI","04/2023","1391","1590","330"
"220045","ALVORADA DO GURGUÉIA","PI","05/2023","1394","1598","328"
"220045","ALVORADA DO GURGUÉIA","PI","06/2023","1215","1472","465"
"220045","ALVORADA DO GURGUÉIA","PI","07/2023","1222","1474","470"
"220045","ALVORADA DO GURGUÉIA","PI","08/2023","1241","1488","468"
"220045","ALVORADA DO GURGUÉIA","PI","09/2023","1261","1505","464"
"220045","ALVORADA DO GURGUÉIA","PI","10/2023","1197","1460","512"
"220045","ALVORADA DO GURGUÉIA","PI","11/2023","1209","1469","513"
"220045","ALVORADA DO GURGUÉIA","PI","12/2023","1213","1468","512"
