"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias"
"220005","ACAUÃ","PI","12/2022","4074"
"220010","AGRICOLÂNDIA","PI","12/2022","2999"
"220020","ÁGUA BRANCA","PI","12/2022","8928"
"220025","ALAGOINHA DO PIAUÍ","PI","12/2022","3879"
"220027","ALEGRETE DO PIAUÍ","PI","12/2022","2618"
"220030","ALTO LONGÁ","PI","12/2022","7407"
"220040","ALTOS","PI","12/2022","16726"
"220045","ALVORADA DO GURGUÉIA","PI","12/2022","3636"
"220050","AMARANTE","PI","12/2022","11113"
"220060","ANGICAL DO PIAUÍ","PI","12/2022","4710"
"220070","ANÍSIO DE ABREU","PI","12/2022","4782"
"220080","ANTÔNIO ALMEIDA","PI","12/2022","1681"
"220090","AROAZES","PI","12/2022","3029"
"220095","AROEIRAS DO ITAIM","PI","12/2022","1720"
"220100","ARRAIAL","PI","12/2022","2771"
"220105","ASSUNÇÃO DO PIAUÍ","PI","12/2022","4702"
"220110","AVELINO LOPES","PI","12/2022","7667"
"220115","BAIXA GRANDE DO RIBEIRO","PI","12/2022","7037"
"220117","BARRA D´ALCÂNTARA","PI","12/2022","2400"
"220120","BARRAS","PI","12/2022","32560"
"220130","BARREIRAS DO PIAUÍ","PI","12/2022","2469"
"220140","BARRO DURO","PI","12/2022","3865"
"220150","BATALHA","PI","12/2022","15191"
"220155","BELA VISTA DO PIAUÍ","PI","12/2022","2375"
"220157","BELÉM DO PIAUÍ","PI","12/2022","1958"
"220160","BENEDITINOS","PI","12/2022","5789"
"220170","BERTOLÍNIA","PI","12/2022","3314"
"220173","BETÂNIA DO PIAUÍ","PI","12/2022","4276"
"220177","BOA HORA","PI","12/2022","5417"
"220180","BOCAINA","PI","12/2022","1842"
"220190","BOM JESUS","PI","12/2022","14185"
"220191","BOM PRINCÍPIO DO PIAUÍ","PI","12/2022","3724"
"220192","BONFIM DO PIAUÍ","PI","12/2022","3661"
"220194","BOQUEIRÃO DO PIAUÍ","PI","12/2022","4042"
"220196","BRASILEIRA","PI","12/2022","4422"
"220198","BREJO DO PIAUÍ","PI","12/2022","2932"
"220200","BURITI DOS LOPES","PI","12/2022","12428"
"220202","BURITI DOS MONTES","PI","12/2022","4722"
"220205","CABECEIRAS DO PIAUÍ","PI","12/2022","5772"
"220207","CAJAZEIRAS DO PIAUÍ","PI","12/2022","1595"
"220208","CAJUEIRO DA PRAIA","PI","12/2022","3478"
"220209","CALDEIRÃO GRANDE DO PIAUÍ","PI","12/2022","3466"
"220210","CAMPINAS DO PIAUÍ","PI","12/2022","3466"
"220211","CAMPO ALEGRE DO FIDALGO","PI","12/2022","3379"
"220213","CAMPO GRANDE DO PIAUÍ","PI","12/2022","3304"
"220217","CAMPO LARGO DO PIAUÍ","PI","12/2022","5944"
"220220","CAMPO MAIOR","PI","12/2022","23168"
"220225","CANAVIEIRA","PI","12/2022","2171"
"220230","CANTO DO BURITI","PI","12/2022","11558"
"220240","CAPITÃO DE CAMPOS","PI","12/2022","6884"
"220245","CAPITÃO GERVÁSIO OLIVEIRA","PI","12/2022","3200"
"220250","CARACOL","PI","12/2022","7340"
"220253","CARAÚBAS DO PIAUÍ","PI","12/2022","3528"
"220255","CARIDADE DO PIAUÍ","PI","12/2022","3726"
"220260","CASTELO DO PIAUÍ","PI","12/2022","10987"
"220265","CAXINGÓ","PI","12/2022","3885"
"220270","COCAL","PI","12/2022","17069"
"220271","COCAL DE TELHA","PI","12/2022","3073"
"220272","COCAL DOS ALVES","PI","12/2022","3515"
"220273","COIVARAS","PI","12/2022","2726"
"220275","COLÔNIA DO GURGUÉIA","PI","12/2022","4315"
"220277","COLÔNIA DO PIAUÍ","PI","12/2022","4291"
"220280","CONCEIÇÃO DO CANINDÉ","PI","12/2022","3327"
"220285","CORONEL JOSÉ DIAS","PI","12/2022","3249"
"220290","CORRENTE","PI","12/2022","13901"
"220300","CRISTALÂNDIA DO PIAUÍ","PI","12/2022","4444"
"220310","CRISTINO CASTRO","PI","12/2022","6675"
"220320","CURIMATÁ","PI","12/2022","6204"
"220323","CURRAIS","PI","12/2022","3501"
"220325","CURRALINHOS","PI","12/2022","2832"
"220327","CURRAL NOVO DO PIAUÍ","PI","12/2022","3634"
"220330","DEMERVAL LOBÃO","PI","12/2022","10067"
"220335","DIRCEU ARCOVERDE","PI","12/2022","4484"
"220340","DOM EXPEDITO LOPES","PI","12/2022","2863"
"220342","DOMINGOS MOURÃO","PI","12/2022","2803"
"220345","DOM INOCÊNCIO","PI","12/2022","5128"
"220350","ELESBÃO VELOSO","PI","12/2022","5742"
"220360","ELISEU MARTINS","PI","12/2022","2346"
"220370","ESPERANTINA","PI","12/2022","21404"
"220375","FARTURA DO PIAUÍ","PI","12/2022","4184"
"220380","FLORES DO PIAUÍ","PI","12/2022","2762"
"220385","FLORESTA DO PIAUÍ","PI","12/2022","1549"
"220390","FLORIANO","PI","12/2022","18487"
"220400","FRANCINÓPOLIS","PI","12/2022","2329"
"220410","FRANCISCO AYRES","PI","12/2022","2389"
"220415","FRANCISCO MACEDO","PI","12/2022","1504"
"220420","FRANCISCO SANTOS","PI","12/2022","3571"
"220430","FRONTEIRAS","PI","12/2022","5954"
"220435","GEMINIANO","PI","12/2022","3858"
"220440","GILBUÉS","PI","12/2022","7023"
"220450","GUADALUPE","PI","12/2022","5581"
"220455","GUARIBAS","PI","12/2022","3489"
"220460","HUGO NAPOLEÃO","PI","12/2022","2165"
"220465","ILHA GRANDE","PI","12/2022","5969"
"220470","INHUMA","PI","12/2022","7644"
"220480","IPIRANGA DO PIAUÍ","PI","12/2022","4543"
"220490","ISAÍAS COELHO","PI","12/2022","4949"
"220500","ITAINÓPOLIS","PI","12/2022","5794"
"220510","ITAUEIRA","PI","12/2022","5261"
"220515","JACOBINA DO PIAUÍ","PI","12/2022","3427"
"220520","JAICÓS","PI","12/2022","10672"
"220525","JARDIM DO MULATO","PI","12/2022","2809"
"220527","JATOBÁ DO PIAUÍ","PI","12/2022","3250"
"220530","JERUMENHA","PI","12/2022","2997"
"220535","JOÃO COSTA","PI","12/2022","1914"
"220540","JOAQUIM PIRES","PI","12/2022","8572"
"220545","JOCA MARQUES","PI","12/2022","3728"
"220550","JOSÉ DE FREITAS","PI","12/2022","20855"
"220551","JUAZEIRO DO PIAUÍ","PI","12/2022","3066"
"220552","JÚLIO BORGES","PI","12/2022","3458"
"220553","JUREMA","PI","12/2022","3779"
"220554","LAGOINHA DO PIAUÍ","PI","12/2022","1611"
"220555","LAGOA ALEGRE","PI","12/2022","6483"
"220556","LAGOA DO BARRO DO PIAUÍ","PI","12/2022","2500"
"220557","LAGOA DE SÃO FRANCISCO","PI","12/2022","3640"
"220558","LAGOA DO PIAUÍ","PI","12/2022","2937"
"220559","LAGOA DO SÍTIO","PI","12/2022","3363"
"220560","LANDRI SALES","PI","12/2022","3344"
"220570","LUÍS CORREIA","PI","12/2022","19269"
"220580","LUZILÂNDIA","PI","12/2022","15817"
"220585","MADEIRO","PI","12/2022","4863"
"220590","MANOEL EMÍDIO","PI","12/2022","2766"
"220595","MARCOLÂNDIA","PI","12/2022","6278"
"220600","MARCOS PARENTE","PI","12/2022","2914"
"220605","MASSAPÊ DO PIAUÍ","PI","12/2022","3278"
"220610","MATIAS OLÍMPIO","PI","12/2022","6894"
"220620","MIGUEL ALVES","PI","12/2022","22078"
"220630","MIGUEL LEÃO","PI","12/2022","713"
"220635","MILTON BRANDÃO","PI","12/2022","4009"
"220640","MONSENHOR GIL","PI","12/2022","5168"
"220650","MONSENHOR HIPÓLITO","PI","12/2022","4754"
"220660","MONTE ALEGRE DO PIAUÍ","PI","12/2022","6544"
"220665","MORRO CABEÇA NO TEMPO","PI","12/2022","3097"
"220667","MORRO DO CHAPÉU DO PIAUÍ","PI","12/2022","3930"
"220669","MURICI DOS PORTELAS","PI","12/2022","4229"
"220670","NAZARÉ DO PIAUÍ","PI","12/2022","4361"
"220672","NAZÁRIA","PI","12/2022","7019"
"220675","NOSSA SENHORA DE NAZARÉ","PI","12/2022","2746"
"220680","NOSSA SENHORA DOS REMÉDIOS","PI","12/2022","6713"
"220690","NOVO ORIENTE DO PIAUÍ","PI","12/2022","3062"
"220695","NOVO SANTO ANTÔNIO","PI","12/2022","2165"
"220700","OEIRAS","PI","12/2022","20050"
"220710","OLHO D´ÁGUA DO PIAUÍ","PI","12/2022","1570"
"220720","PADRE MARCOS","PI","12/2022","4283"
